shot_id,MatchId,goal,x,y,dist,angle,y_off,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_att_box,n_def_box,shooter_speed,ball_z,ball_speed,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,ev.EventId,ev.MatchId,setpiece_parent,outcome,xG,DistanceToGoal,AngleToGoal,Pressure,GoalDistanceGoalkeeper,AmountOfDefenders,PlayerSpeed,TypeOfShot,TakerBallControl,TakerSetup,BuildUp,ShotOrigin,InsideBox,CounterAttack,ChanceEvaluation,ShotCondition,AssistTypeShotAtGoal,SetupOrigin,ExtendedTypeOfShot,Player,Team
18226500000041,DFL-MAT-J03WMX,0,90.0,25.689999999999998,17.148064030671218,21.366430960597807,8.310000000000002,0,1,2,2.5004999500099974,1,5,3.63,0.66,14.12,2.4177055238386638,14.902576958365291,1,0.835091353425478,18226500000041,DFL-MAT-J03WMX,openPlay,ShotWide,0.0476,17.15,21.37,0.68,1.58,1.0,3.63,rightLeg,controlShot,crossFromOpenPlay,crossOpenPlay,3,1,1,chance,notComplicated,direct,right,,DFL-OBJ-0027AX,DFL-CLU-000008
18226500000187,DFL-MAT-J03WMX,1,89.53,47.48,20.51904724883687,15.525188965570392,13.479999999999997,0,1,2,1.5430489298787624,3,5,12.52,0.12,12.85,3.550464758309813,16.969728931246962,1,0.08204571974438239,18226500000187,DFL-MAT-J03WMX,openPlay,SuccessfulShot,0.0399,20.52,15.53,0.9,2.73,1.0,12.52,rightLeg,dribblingLess10m,otherPassFromOpenPlay,passOpenPlay,2,1,0,chance,notComplicated,others,insideLeft,scoop,DFL-OBJ-0026PM,DFL-CLU-00000G
18226500000282,DFL-MAT-J03WMX,0,100.88,27.14,8.00212471784838,30.776498654647668,6.859999999999999,0,1,1,2.281775624376766,3,4,12.52,0.29,5.46,7.56838159714479,0.8409518416651375,0,0.6999141099997556,18226500000282,DFL-MAT-J03WMX,openPlay,SavedShot,0.0847,8.0,30.78,0.85,5.1,0.0,12.52,rightLeg,dribblingLess10m,throwIn,throwIn,3,1,0,chance,complicated,direct,right,,DFL-OBJ-J01BGM,DFL-CLU-000008
18226500000365,DFL-MAT-J03WMX,0,92.17,44.26,16.427918309998987,20.111212765303407,10.259999999999998,1,1,1,1.4851935900750393,4,7,9.07,0.0,25.59,2.669925092582189,13.802007100418399,1,0.44247237311715515,18226500000365,DFL-MAT-J03WMX,openPlay,BlockedShot,0.0448,16.43,20.11,0.73,1.78,2.0,9.07,leftLeg,direct,otherPassFromOpenPlay,passOpenPlay,2,1,0,chance,notComplicated,direct,left,,DFL-OBJ-0002AU,DFL-CLU-00000G
18226500000396,DFL-MAT-J03WMX,0,98.98,37.92,7.183787301973797,49.07053245270177,3.9200000000000017,1,1,2,0.5375872022286299,5,8,10.07,2.01,42.48,0.8485281374238601,6.42435989029257,1,0.35780569384254957,18226500000396,DFL-MAT-J03WMX,openPlay,ShotWoodWork,0.1542,7.18,49.07,1.31,0.84,2.0,10.07,head,volley,crossFromOpenPlay,crossOpenPlay,3,1,0,chance,notComplicated,direct,right,frontalVolley,DFL-OBJ-0000IA,DFL-CLU-00000G
18226500000482,DFL-MAT-J03WMX,0,92.4,30.020000000000003,13.213644463205442,29.775676556358427,3.979999999999997,0,2,2,0.7720103626247512,2,4,20.22,0.08,15.63,2.792346683347172,10.447774882720246,1,0.34107168635795926,18226500000482,DFL-MAT-J03WMX,openPlay,ShotWide,0.104,13.21,29.78,1.09,2.54,1.0,20.22,rightLeg,dribblingLess10m,otherPassFromOpenPlay,passOpenPlay,3,1,1,chance,notComplicated,direct,insideRight,,DFL-OBJ-002GKO,DFL-CLU-000008
18226500000536,DFL-MAT-J03WMX,0,84.28,51.17,26.9096135237948,12.046248217880839,17.17,1,1,3,1.6850222550459153,4,5,12.9,0.17,14.07,1.72072659071684,25.190355297216435,1,0.06876352937450271,18226500000536,DFL-MAT-J03WMX,openPlay,BlockedShot,0.0202,26.91,12.05,1.06,1.28,3.0,12.9,rightLeg,dribblingLess10m,oppositionOtherAction,lossOfPossession,7,0,0,none,notComplicated,,insideLeft,,DFL-OBJ-0027AX,DFL-CLU-000008
18226500000602,DFL-MAT-J03WMX,0,92.03999999999999,28.869999999999997,13.93838225907154,27.67554929189814,5.130000000000003,1,2,2,1.0941663493271936,2,5,12.74,1.92,57.36,2.3720033726788836,11.983509502645715,1,1.2440037644049369,18226500000602,DFL-MAT-J03WMX,openPlay,ShotWide,0.0155,13.94,27.68,0.79,1.42,1.0,12.74,head,volley,crossFromOpenPlay,crossOpenPlay,3,1,0,chance,complicated,direct,right,frontalVolley,DFL-OBJ-000270,DFL-CLU-000008
18226500000848,DFL-MAT-J03WMX,0,97.55,21.56,14.500210343301923,15.483715858805766,12.440000000000001,1,1,1,1.7010584939971962,5,8,23.38,1.6,49.77,1.5181897114656058,12.994152531042564,1,0.1813215076024438,18226500000848,DFL-MAT-J03WMX,openPlay,ShotWide,0.0713,14.5,15.48,0.17,0.93,2.0,23.38,head,volley,crossFromOpenPlay,crossOpenPlay,4,1,0,chance,notComplicated,direct,left,frontalVolley,DFL-OBJ-0002AU,DFL-CLU-00000G
18226500001065,DFL-MAT-J03WMX,0,78.24,39.61,27.341720867567943,14.938953550084086,5.609999999999999,2,1,1,2.6510752535527993,3,4,9.55,0.09,24.95,1.1148542505637333,26.252108486748256,1,0.2311412668796729,18226500001065,DFL-MAT-J03WMX,openPlay,ShotWide,0.0188,27.34,14.94,0.55,1.02,3.0,9.55,leftLeg,direct,oppositionDefensiveAction,crossOpenPlay,8,0,0,none,notComplicated,indirect,right,,DFL-OBJ-00012X,DFL-CLU-000008
18226500001126,DFL-MAT-J03WMX,0,95.82,41.11,11.611395264997231,28.959725280265136,7.109999999999999,1,3,3,1.8529975715040772,7,10,8.28,1.84,60.83,1.419471732723123,10.386924472624235,1,0.6787556378998102,18226500001126,DFL-MAT-J03WMX,openPlay,SavedShot,0.0258,11.61,28.96,1.79,0.57,4.0,8.28,head,volley,cornerKick,cornerKick,3,1,0,chance,notComplicated,direct,right,frontalVolley,DFL-OBJ-000270,DFL-CLU-000008
18226500001292,DFL-MAT-J03WMX,0,95.67,36.46,9.648860036294442,40.591809568160365,2.460000000000001,0,4,6,0.6003332407921467,5,8,1.97,1.94,3.47,0.6099999999999994,9.060353193998564,1,0.15552096251323494,18226500001292,DFL-MAT-J03WMX,openPlay,BlockedShot,0.0466,9.65,40.59,2.97,0.61,4.0,1.97,head,volley,cornerKick,cornerKick,3,1,0,chance,notComplicated,direct,right,frontalVolley,DFL-OBJ-J017RE,DFL-CLU-00000G
