ev.MatchId,ev.CalculatedFrame,ev.X-Source-Position,ev.EventTime,ev.Y-Source-Position,ev.CalculatedTimestamp,ev.EventId,ev.X-PositionFromTracking,ev.X-Position,ev.Y-PositionFromTracking,ev.Y-Position,setpiece_parent,Team,Pressure,GoalDistanceGoalkeeper,ShotOrigin,AssistTypeShotAtGoal,AssistShotAtGoal,AngleToGoal,PlayerSpeed,TakerBallControl,CounterAttack,Player,ChanceEvaluation,SetupOrigin,TypeOfShot,TakerSetup,AfterFreeKick,DistanceToGoal,InsideBox,SignificanceEvaluation,BuildUp,AssistAction,xG,BallPossessionPhase,AmountOfDefenders,ShotCondition,outcome,out.Placing,out.PitchMarking,ExtendedTypeOfShot,out.CurrentResult,out.GoalZone,out.RefDecisionEvaluation,out.Assist,out.AssistType,out.Solo,out.SaveEvaluation,out.GoalKeeper,out.SaveType,out.SaveResult,out.Player,out.GoalPrevented,ShotContribution,out.Location,SitterContribution,out.BlockedByOwnTeam,Penalty.Team,Penalty.CausingPlayer,Penalty.GoalkeeperBehaviour,Penalty.DecisionTimestamp,Penalty.ProspectiveTaker,Penalty.RefDecisionEvaluation,Penalty.RetakenPenalty,Penalty.PlayersInBox,Penalty.GoalkeeperMovement,PenaltyDirection,PenaltyExecution,src_file,out.DeflectionKeeper,ev.EndFrame,ev.StartFrame,FreeKick.DecisionTimestamp,FreeKick.Team,FreeKick.ExecutionMode,DirectFreeKickIntention,Rotation,out.AssistContribution,Penalty.FouledPlayer,ShotAssistFouledPlayer,out.AssistFouledPlayer,out.Error,out.DeflectionPlayer,goal
DFL-MAT-J03WMX,12519.0,14.13,2023-05-27 15:31:54.566000+02:00,41.92,2023-05-27T15:31:53.360+02:00,18226500000041,15.0,14.13,42.31,41.92,openPlay,DFL-CLU-000008,0.68,1.58,3,direct,DFL-OBJ-J01BGM,21.37,3.63,controlShot,1,DFL-OBJ-0027AX,chance,right,rightLeg,crossFromOpenPlay,0,17.15,1,average,crossOpenPlay,crossFromOpenPlay,0.0476,41,1.0,notComplicated,ShotWide,far,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WMX,21707.0,84.46,2023-05-27 15:38:02+02:00,53.36,2023-05-27T15:38:00.880+02:00,18226500000187,89.53,89.51,47.48,47.63,openPlay,DFL-CLU-00000G,0.9,2.73,2,others,DFL-OBJ-0002AU,15.53,12.52,dribblingLess10m,0,DFL-OBJ-0026PM,chance,insideLeft,rightLeg,otherPassFromOpenPlay,0,20.52,1,,passOpenPlay,otherPassFromOpenPlay,0.0399,187,1.0,notComplicated,SuccessfulShot,,,scoop,0:1,5,correct,DFL-OBJ-0002AU,others,false,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,1
DFL-MAT-J03WMX,28277.0,6.91,2023-05-27 15:42:23.200000+02:00,44.93,2023-05-27T15:42:23.680+02:00,18226500000282,4.12,5.79,40.86,41.64,openPlay,DFL-CLU-000008,0.85,5.1,3,direct,DFL-OBJ-0002BO,30.78,12.52,dribblingLess10m,0,DFL-OBJ-J01BGM,chance,right,rightLeg,throwIn,0,8.0,1,outstanding,throwIn,throwIn,0.0847,282,0.0,complicated,SavedShot,,,,,,,,,,average,DFL-OBJ-0002DR,legs,notCleared,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WMX,35103.0,90.17,2023-05-27 15:46:57.166000+02:00,44.63,2023-05-27T15:46:56.720+02:00,18226500000365,92.17,90.17,44.26,44.63,openPlay,DFL-CLU-00000G,0.73,1.78,2,direct,DFL-OBJ-J01APO,20.11,9.07,direct,0,DFL-OBJ-0002AU,chance,left,leftLeg,otherPassFromOpenPlay,0,16.43,1,average,passOpenPlay,otherPassFromOpenPlay,0.0448,365,2.0,notComplicated,BlockedShot,,,,,,,,,,,,,,DFL-OBJ-002G4A,false,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WMX,37680.0,98.69,2023-05-27 15:48:43.613000+02:00,38.91,2023-05-27T15:48:39.800+02:00,18226500000396,98.98,98.41,37.92,37.54,openPlay,DFL-CLU-00000G,1.31,0.84,3,direct,DFL-OBJ-0027G0,49.07,10.07,volley,0,DFL-OBJ-0000IA,chance,right,head,crossFromOpenPlay,0,7.18,1,outstanding,crossOpenPlay,crossFromOpenPlay,0.1542,396,2.0,notComplicated,ShotWoodWork,,,frontalVolley,,,,,,,,,,,,,51085,rightPost,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WMX,43775.0,17.93,2023-05-27 15:52:44.680000+02:00,50.95,2023-05-27T15:52:43.600+02:00,18226500000482,12.6,12.29,37.98,36.85,openPlay,DFL-CLU-000008,1.09,2.54,3,direct,DFL-OBJ-000270,29.78,20.22,dribblingLess10m,1,DFL-OBJ-002GKO,chance,insideRight,rightLeg,otherPassFromOpenPlay,0,13.21,1,decent,passOpenPlay,otherPassFromOpenPlay,0.104,482,1.0,notComplicated,ShotWide,near,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WMX,49851.0,18.03,2023-05-27 15:56:46.928000+02:00,8.32,2023-05-27T15:56:46.640+02:00,18226500000536,20.72,20.28,16.83,17.47,openPlay,DFL-CLU-000008,1.06,1.28,7,,,12.05,12.9,dribblingLess10m,0,DFL-OBJ-0027AX,none,insideLeft,rightLeg,oppositionOtherAction,0,26.91,0,average,lossOfPossession,,0.0202,536,3.0,notComplicated,BlockedShot,,,,,,,,,,,,,,DFL-OBJ-0000IA,false,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WMX,55535.0,12.62,2023-05-27 16:00:41.213000+02:00,40.82,2023-05-27T16:00:34.000+02:00,18226500000602,12.96,12.59,39.13,39.84,openPlay,DFL-CLU-000008,0.79,1.42,3,direct,DFL-OBJ-J01BGM,27.68,12.74,volley,0,DFL-OBJ-000270,chance,right,head,crossFromOpenPlay,0,13.94,1,average,crossOpenPlay,crossFromOpenPlay,0.0155,602,1.0,complicated,ShotWide,far,overCrossbarRight,frontalVolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WMX,75078.0,96.68,2023-05-27 16:13:36.341000+02:00,22.06,2023-05-27T16:13:35.720+02:00,18226500000848,97.55,97.61,21.56,22.17,openPlay,DFL-CLU-00000G,0.17,0.93,4,direct,DFL-OBJ-0026PM,15.48,23.38,volley,0,DFL-OBJ-0002AU,chance,left,head,crossFromOpenPlay,0,14.5,1,average,crossOpenPlay,crossFromOpenPlay,0.0713,848,2.0,notComplicated,ShotWide,far,over,frontalVolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WMX,115922.0,78.75,2023-05-27 16:46:20.211000+02:00,42.63,2023-05-27T16:46:20.240+02:00,18226500001065,78.24,79.12,39.61,39.84,openPlay,DFL-CLU-000008,0.55,1.02,8,indirect,DFL-OBJ-0002BO,14.94,9.55,direct,0,DFL-OBJ-00012X,none,right,leftLeg,oppositionDefensiveAction,0,27.34,0,none,crossOpenPlay,crossFromOpenPlay,0.0188,1065,3.0,notComplicated,ShotWide,far,overCrossbarLeft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,,,,,,,,,,,,0
