MatchId,X-Source-Position,EventTime,Y-Source-Position,EventId,X-Position,Y-Position,_type,_sub,CalculatedFrame,CalculatedTimestamp,X-PositionFromTracking,Y-PositionFromTracking,ShotAtGoal.Team,ShotAtGoal.Pressure,ShotAtGoal.GoalDistanceGoalkeeper,ShotAtGoal.ShotOrigin,ShotAtGoal.AssistTypeShotAtGoal,ShotAtGoal.AssistShotAtGoal,ShotAtGoal.AngleToGoal,ShotAtGoal.PlayerSpeed,ShotAtGoal.TakerBallControl,ShotAtGoal.CounterAttack,ShotAtGoal.Player,ShotAtGoal.ChanceEvaluation,ShotAtGoal.SetupOrigin,ShotAtGoal.TypeOfShot,ShotAtGoal.TakerSetup,ShotAtGoal.AfterFreeKick,ShotAtGoal.DistanceToGoal,ShotAtGoal.InsideBox,ShotAtGoal.SignificanceEvaluation,ShotAtGoal.BuildUp,ShotAtGoal.AssistAction,ShotAtGoal.xG,ShotAtGoal.BallPossessionPhase,ShotAtGoal.AmountOfDefenders,ShotAtGoal.ShotCondition,ShotWide.Placing,ShotWide.PitchMarking,ShotAtGoal.ExtendedTypeOfShot,SuccessfulShot.CurrentResult,SuccessfulShot.GoalZone,SuccessfulShot.RefDecisionEvaluation,SuccessfulShot.Assist,SuccessfulShot.AssistType,SuccessfulShot.Solo,SavedShot.SaveEvaluation,SavedShot.GoalKeeper,SavedShot.SaveType,SavedShot.SaveResult,BlockedShot.Player,BlockedShot.GoalPrevented,ShotAtGoal.ShotContribution,ShotWoodWork.Location,ShotAtGoal.SitterContribution,BlockedShot.BlockedByOwnTeam,_file,SuccessfulShot.DeflectionKeeper,SuccessfulShot.AssistContribution,SuccessfulShot.Error,SuccessfulShot.DeflectionPlayer
DFL-MAT-J03WMX,14.13,2023-05-27T15:31:54.566+02:00,41.92,18226500000041,14.13,41.92,ShotAtGoal,ShotWide,12519,2023-05-27T15:31:53.360+02:00,15.00,42.31,DFL-CLU-000008,0.68,1.58,3,direct,DFL-OBJ-J01BGM,21.37,3.63,controlShot,true,DFL-OBJ-0027AX,chance,right,rightLeg,crossFromOpenPlay,false,17.15,true,average,crossOpenPlay,crossFromOpenPlay,0.0476,41,1,notComplicated,far,over,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,84.46,2023-05-27T15:38:02.000+02:00,53.36,18226500000187,89.51,47.63,ShotAtGoal,SuccessfulShot,21707,2023-05-27T15:38:00.880+02:00,89.53,47.48,DFL-CLU-00000G,0.90,2.73,2,others,DFL-OBJ-0002AU,15.53,12.52,dribblingLess10m,false,DFL-OBJ-0026PM,chance,insideLeft,rightLeg,otherPassFromOpenPlay,false,20.52,true,,passOpenPlay,otherPassFromOpenPlay,0.0399,187,1,notComplicated,,,scoop,0:1,5,correct,DFL-OBJ-0002AU,others,false,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,6.91,2023-05-27T15:42:23.200+02:00,44.93,18226500000282,5.79,41.64,ShotAtGoal,SavedShot,28277,2023-05-27T15:42:23.680+02:00,4.12,40.86,DFL-CLU-000008,0.85,5.10,3,direct,DFL-OBJ-0002BO,30.78,12.52,dribblingLess10m,false,DFL-OBJ-J01BGM,chance,right,rightLeg,throwIn,false,8.00,true,outstanding,throwIn,throwIn,0.0847,282,0,complicated,,,,,,,,,,average,DFL-OBJ-0002DR,legs,notCleared,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,90.17,2023-05-27T15:46:57.166+02:00,44.63,18226500000365,90.17,44.63,ShotAtGoal,BlockedShot,35103,2023-05-27T15:46:56.720+02:00,92.17,44.26,DFL-CLU-00000G,0.73,1.78,2,direct,DFL-OBJ-J01APO,20.11,9.07,direct,false,DFL-OBJ-0002AU,chance,left,leftLeg,otherPassFromOpenPlay,false,16.43,true,average,passOpenPlay,otherPassFromOpenPlay,0.0448,365,2,notComplicated,,,,,,,,,,,,,,DFL-OBJ-002G4A,false,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,98.69,2023-05-27T15:48:43.613+02:00,38.91,18226500000396,98.41,37.54,ShotAtGoal,ShotWoodWork,37680,2023-05-27T15:48:39.800+02:00,98.98,37.92,DFL-CLU-00000G,1.31,0.84,3,direct,DFL-OBJ-0027G0,49.07,10.07,volley,false,DFL-OBJ-0000IA,chance,right,head,crossFromOpenPlay,false,7.18,true,outstanding,crossOpenPlay,crossFromOpenPlay,0.1542,396,2,notComplicated,,,frontalVolley,,,,,,,,,,,,,51085,rightPost,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,17.93,2023-05-27T15:52:44.680+02:00,50.95,18226500000482,12.29,36.85,ShotAtGoal,ShotWide,43775,2023-05-27T15:52:43.600+02:00,12.60,37.98,DFL-CLU-000008,1.09,2.54,3,direct,DFL-OBJ-000270,29.78,20.22,dribblingLess10m,true,DFL-OBJ-002GKO,chance,insideRight,rightLeg,otherPassFromOpenPlay,false,13.21,true,decent,passOpenPlay,otherPassFromOpenPlay,0.1040,482,1,notComplicated,near,over,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,18.03,2023-05-27T15:56:46.928+02:00,8.32,18226500000536,20.28,17.47,ShotAtGoal,BlockedShot,49851,2023-05-27T15:56:46.640+02:00,20.72,16.83,DFL-CLU-000008,1.06,1.28,7,,,12.05,12.90,dribblingLess10m,false,DFL-OBJ-0027AX,none,insideLeft,rightLeg,oppositionOtherAction,false,26.91,false,average,lossOfPossession,,0.0202,536,3,notComplicated,,,,,,,,,,,,,,DFL-OBJ-0000IA,false,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,12.62,2023-05-27T16:00:41.213+02:00,40.82,18226500000602,12.59,39.84,ShotAtGoal,ShotWide,55535,2023-05-27T16:00:34.000+02:00,12.96,39.13,DFL-CLU-000008,0.79,1.42,3,direct,DFL-OBJ-J01BGM,27.68,12.74,volley,false,DFL-OBJ-000270,chance,right,head,crossFromOpenPlay,false,13.94,true,average,crossOpenPlay,crossFromOpenPlay,0.0155,602,1,complicated,far,overCrossbarRight,frontalVolley,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,96.68,2023-05-27T16:13:36.341+02:00,22.06,18226500000848,97.61,22.17,ShotAtGoal,ShotWide,75078,2023-05-27T16:13:35.720+02:00,97.55,21.56,DFL-CLU-00000G,0.17,0.93,4,direct,DFL-OBJ-0026PM,15.48,23.38,volley,false,DFL-OBJ-0002AU,chance,left,head,crossFromOpenPlay,false,14.50,true,average,crossOpenPlay,crossFromOpenPlay,0.0713,848,2,notComplicated,far,over,frontalVolley,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
DFL-MAT-J03WMX,78.75,2023-05-27T16:46:20.211+02:00,42.63,18226500001065,79.12,39.84,ShotAtGoal,ShotWide,115922,2023-05-27T16:46:20.240+02:00,78.24,39.61,DFL-CLU-000008,0.55,1.02,8,indirect,DFL-OBJ-0002BO,14.94,9.55,direct,false,DFL-OBJ-00012X,none,right,leftLeg,oppositionDefensiveAction,false,27.34,false,none,crossOpenPlay,crossFromOpenPlay,0.0188,1065,3,notComplicated,far,overCrossbarLeft,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,,,,
