variant,label,model,n_feat,auc,auc_lo,auc_hi,d_vs_sb,d_lo,d_hi,logloss,brier,calib,test_auc,test_auc_lo,test_auc_hi,test_d_vs_sb,test_d_lo,test_d_hi,test_logloss,test_brier,test_calib,selected
A,위치+부위,LogReg,29.0,0.8067704629347421,0.7906606784280681,0.823469953958262,-0.026268063356603366,-0.035823342669643085,-0.01719712719878625,0.2696719289790419,0.07824836770979722,0.9995408468326182,0.7875833908442603,0.7517973550665829,0.8241660132934705,-0.04381486894274622,-0.059348461683982535,-0.027633209418580756,0.28634992939403553,0.08358373706722975,0.9686716634642885,False
A,위치+부위,GBM,29.0,0.7981284338721095,0.7820471099451615,0.8148192179591895,-0.03491009241923593,-0.04459143171587257,-0.02507315173597134,0.27398055360069606,0.07936471595337338,1.0018126521742312,0.7895709008240978,0.7550794984726962,0.8232217742260414,-0.04182735896290879,-0.057630006254950905,-0.024715643772094786,0.28465349829005054,0.08320138196164098,0.963696224125516,False
B,+어시스트·포제션,LogReg,58.0,0.8105671744806155,0.7948455240095471,0.8274132790160542,-0.0224713518107299,-0.03209686871295195,-0.012813229482524788,0.26711210011104547,0.0772922247920465,1.0002172709885575,0.8036678439491738,0.7675699481553905,0.8386549360006641,-0.027730415837832756,-0.046337502326239954,-0.009584617608933975,0.27886109197638365,0.08041604874742411,0.9784981042149069,False
B,+어시스트·포제션,GBM,58.0,0.8020140410798747,0.7847364277541388,0.8200176096065657,-0.03102448521147072,-0.04121352593702144,-0.021161464948632153,0.271829626918845,0.07860543152812254,0.9890951523587415,0.8133229137065455,0.77955786563127,0.8452468957453586,-0.01807534608046102,-0.035915824140258304,-0.0014718686547189417,0.27359452778302207,0.08023299692853493,0.9555774352467906,False
C,+프리즈프레임,LogReg,76.0,0.8271803828036681,0.8111882444573958,0.8437771618219609,-0.005858143487677325,-0.013893071038878439,0.0024932553255176027,0.2583915212574719,0.07490054155538034,1.0021980316134307,0.8124670157918239,0.7787143152185849,0.8471206343401764,-0.018931243995182645,-0.03413244572984134,-0.0037487085975914194,0.2681577591923248,0.07645101993557286,0.9816009448493719,True
C,+프리즈프레임,GBM,76.0,0.8194466617965552,0.8039296365011938,0.8356067476145622,-0.013591864494790218,-0.021437293922147667,-0.005227608237297516,0.2627923410510848,0.07595524192289431,0.9737524907544887,0.8222032774462441,0.7872687112651372,0.856931877379478,-0.009194982340762436,-0.02389238172142202,0.007003424567634205,0.2625011283890588,0.07498181727250904,0.9531205247379021,False
D,+분석관 태그,LogReg,78.0,0.8271388578459593,0.8111676315374572,0.8433147619636389,-0.0058996684453861414,-0.014069247429173601,0.002547137777561645,0.2582833911778683,0.07471019642614454,1.0012485458215978,0.8127647194143358,0.779178193541166,0.8470077072474368,-0.01863354037267073,-0.03401927522977478,-0.0033825102474991254,0.2675251942736942,0.07635309795931863,0.9785544814726219,False
D,+분석관 태그,GBM,78.0,0.8211956486682179,0.8046764128789519,0.8384035094953441,-0.011842877623127523,-0.01976394727966481,-0.0033556477911870445,0.2617581864369125,0.07567971773556958,0.9753660096806845,0.8172945506705098,0.781717166681677,0.8514312042074254,-0.014103709116496721,-0.030293249257187342,0.002201003253024316,0.2645749933284168,0.07528542450225754,0.9499903886255181,False
P,공통 피처,LogReg,21.0,0.8251083680449727,0.8093436478933609,0.8413897047648111,-0.007930158246372776,-0.015058959818403512,-0.0005442798223019219,0.2599444336424037,0.07554123915951029,1.0014395753537386,0.8185225781133708,0.7841490296746939,0.8514850823714627,-0.01287568167363573,-0.026272862463437477,-0.00012396614028057932,0.2664476047193499,0.07713715129715573,0.9654762928449516,False
P,공통 피처,GBM,21.0,0.8175686653475436,0.8018998953290791,0.8337259727637049,-0.015469860943801872,-0.02380828065448111,-0.006969810470577906,0.26305573826646655,0.07593464263702665,0.9814162065612702,0.8234888158161815,0.7877241171686343,0.8570936698839393,-0.007909443970825047,-0.024289659675489166,0.008567665993032055,0.26447370073589077,0.07590176551945892,0.957900840111865,False
REF,statsbomb_xg,-,,0.8330385262913454,0.8173040810781854,0.8504062129972662,0.0,0.0,0.0,0.25432082113278376,0.07324139400577674,0.9643401485996033,0.8313982597870065,0.8002105981401026,0.8617180845217385,0.0,0.0,0.0,0.26030949903301265,0.0752716365736743,0.9245193039883598,False
